label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,vari,gli,gap_fraction,solidity,cluster_id,is_tree,lat,lon,z_area,z_vigor,z_gap,z_solidity,flag,motivo
1,422.41268758526604,61.3731241473397,1466.0,45.81991177547368,-36.34505275942554,29.30589984770498,0.8839033253869352,0.3499581086457616,0.7404040404040404,0.6052190870609475,0.3867088671874364,0.003410641200545683,0.9682959048877147,-1,True,,,-2.106091836734694,-1.4520056926266725,2.053866302864971,0.56749460669245,normal,
2,366.6267507002801,175.15126050420167,1428.0,40.79131138280018,-27.415838247992873,28.271773828017444,0.8957466235420595,0.20472275468339368,0.7547568710359408,0.36000995940974906,0.31932935212948815,0.0014005602240896309,0.970108695652174,-1,True,,,-1.9317312925170067,0.6558462549779915,0.4458879551820885,0.20160521295239145,normal,
3,302.7595552466991,237.58651841556636,1439.0,44.57613123733552,-27.798555825782763,26.04603515419457,0.899559755786152,0.2622261557250393,0.7605708245243129,0.3706221690746393,0.2834227693191444,0.001389854065323104,0.9749322493224932,-1,True,,,-1.9822040816326532,0.5646222168485993,0.4373234885336938,-0.7719694337786586,normal,
4,307.7161971830986,114.39788732394366,1420.0,39.403612488803645,-27.649594276672648,21.80919647708961,0.8981473574737554,0.32083839297492167,0.7505285412262156,0.5010079956731536,0.31069255705585075,0.004225352112676051,0.9752747252747253,-1,True,,,-1.8950238095238092,-0.5561925797631494,2.705600000000055,-0.8410939687164242,revisar,gap
5,487.29008202833705,242.97539149888144,1341.0,38.53323204121059,-26.237880183943258,20.018553961176266,0.9286126535818571,0.08242858083662402,0.7787456445993032,0.4778795230266965,0.28994707951786125,0.0,0.9795471146822499,-1,True,,,-1.5325374149659863,-0.3573769949603564,-0.6745,-1.7034229262488754,normal,
6,51.519892110586646,180.70667565745111,1483.0,37.05521385967192,-21.140064525077896,20.703171505140432,0.9150357782628008,0.4808472082949899,0.7660123966942148,0.325829603382721,0.2522447242676918,0.0006743088334457692,0.977587343441002,-1,True,,,-2.1840952380952383,0.9496653746474537,-0.13508192852321335,-1.3078673412427462,normal,
7,303.5125936010892,56.73655547991831,1469.0,40.37825065721381,-30.1656840950982,28.23868677310532,0.8857121316462536,0.48002318441308933,0.7587809917355371,0.46865480338965676,0.36570539359552334,0.002042205582028611,0.9696369636963696,-1,True,,,-2.1198571428571427,-0.2780800151158699,0.9591766507828904,0.2968184734681636,normal,
8,483.6780303030303,363.8924242424242,1320.0,42.886383957564256,-30.12648495236014,28.391597100540988,0.9369773109032686,0.0884656441711833,0.7852468768590125,0.4146341383457184,0.3294117748737335,0.0,0.9785025945144552,-1,True,,,-1.4361802721088435,0.18628917503000997,-0.6745,-1.4925994498518915,normal,
9,111.30363771343727,430.641425389755,1347.0,43.264783829454466,-21.851344948631098,27.38255165150977,0.8916493397778255,0.14061184294749118,0.7636054421768708,0.2255004447958838,0.24202331188172876,0.0007423904974016571,0.9718614718614719,-1,True,,,-1.5600680272108842,1.8121088503635112,-0.08061952487005218,-0.15217098513702698,normal,
10,611.0397505845674,491.7240841777085,1283.0,47.055973531869,-43.76007145408051,38.89907171978314,0.9387222804296481,0.07439982403815038,0.7823170731707317,0.6744186282157898,0.5192878246307373,0.0,0.9771515613099772,-1,True,,,-1.2664081632653061,-2.046854624205058,-0.6745,-1.2199101082021344,normal,
