x,y
53.589140413905405,52.332570240866545
120.40062475811452,59.2104550451134
182.54539404051351,54.03729375019543
246.1514300501299,54.713017665784065
302.1605349643785,55.57220084524947
361.2662594341002,54.844357463324904
421.6899056165043,60.78588825603269
489.28331408650945,52.978658111947965
556.7734354571959,60.34079472794724
613.4733396267789,52.503239315149166
59.999489727417085,118.02752154411353
113.66452794494596,117.82975951896842
175.87347546699584,116.48301181202191
242.51934284476738,115.61534276483658
306.99883784997496,113.83284580730367
365.2313534557053,119.66481088111799
430.2551478540761,113.63534642831354
490.74714933925014,122.0494490926551
548.6754078513698,113.32782252911353
608.7808635752199,119.1019119228144
50.14712239377168,179.4397412030938
111.75568823685684,178.76364325389997
176.49077171594658,183.2273132816092
242.7437070712679,175.13882470311762
300.19627305979066,176.98895069200395
366.2835162806224,174.9181251418208
425.84712673220696,180.6737209796043
492.5774394749304,177.43468942511322
548.3024994424092,181.56988655909785
614.2671000643614,180.60718147050025
49.475823427438655,243.49910518067844
113.65246156891313,243.60538637943884
178.2554962282669,242.7033611203849
244.16574353518084,238.52285527633526
302.3501568014899,237.37961754375152
362.6849316995951,242.33646990596085
426.41501368016134,237.7706754333099
487.2379393781406,242.95106814304572
556.0451351311536,235.51582787218112
609.0161192900406,236.47221838683265
58.48137617269296,306.6242016977781
119.9250019571054,304.50383886195283
173.4626659316811,300.76110209845933
243.97077097242243,302.0565500702671
308.8722585566755,302.49977191326565
369.49257784785175,297.8718670747173
424.2720676428446,307.0571411499764
488.903681498814,301.55096582916855
551.2365399913923,300.32372648431203
614.6444560477806,303.4122958399459
58.905399540738195,370.457858160302
111.39740002707585,367.0608542982589
177.48523721709597,363.9108615336928
244.67810906547138,362.03575126689884
301.3516768453148,369.53738457865137
370.2162166485494,361.1403722786237
431.6376552559957,361.62735689539795
483.65034930733077,363.8764265771842
546.9726830807735,369.2314980065677
616.6877333135907,359.8633004398728
55.706004089633986,432.9398049627155
111.20899516015311,430.5535842414791
173.4252661844364,429.5824263408159
243.4385706332312,423.94127833042995
300.8112510519515,430.8572248025015
365.84479400731016,424.5305108473099
429.4363693317909,428.04201097166026
492.60174243462296,431.3747079700834
545.5538380910607,427.0218839995935
617.2891631932058,426.73450499263794
49.501809026515566,483.08719786889765
119.7738380605683,489.1997676889772
184.85885615557942,492.5455258062355
242.43402863327515,493.6326019385169
303.07402783227377,491.2898335349568
360.84485331062797,491.4515032036547
432.82554618902293,493.6410257201532
485.96649164123335,484.6637000528258
545.0987913762195,483.9659720975151
611.0520660422881,491.75633289232053
